message,type,appropriate,reasons
i put the (5.33x10^28) x 1/6.02x10^23,student,TRUE,
dont put it that way,volunteer,TRUE,
I put it like that but I don’t know maybe I wasn’t supposed to use parenthesee,student,TRUE,
Then what do I do,student,TRUE,
(5.33x10^28) / (6.02x10^23),volunteer,TRUE,
Ohhhh,student,TRUE,
i see,student,TRUE,
I got 8.9 x 10^50,student,TRUE,
i don’t know if I rounded right but yeah,student,TRUE,
"Good morning, it's great to meet you!",student,TRUE,
WHAT :),volunteer,TRUE,
wait let me do it,volunteer,TRUE,
8.85×10^4,volunteer,TRUE,
Did you mean (6.02x10^23 /  5.33x10^28),student,TRUE,
I think our calculators are different brands I don’t know,student,TRUE,
but my calculator does round up a lot,student,TRUE,
i don’t know but I can’t control it,student,TRUE,
its somewhat similar so I think we’re good,student,TRUE,
more questions?,volunteer,TRUE,
Yes do you mind checking #1 C,student,TRUE,
I got 1.97,student,TRUE,
moled,student,TRUE,
moles for that,student,TRUE,
GOOD,volunteer,TRUE,
right answer,volunteer,TRUE,
you’re the best!,student,TRUE,
for #2,student,TRUE,
did you get 0.5 moles for a,student,TRUE,
and 6 moles for b,student,TRUE,
they are not asking for moles,volunteer,TRUE,
i mean grams,student,TRUE,
not moles,student,TRUE,
1 mole has 35.5 grams,volunteer,TRUE,
How are you doing,student,TRUE,
35 moles would have 35*35.5,volunteer,TRUE,
So I got the answers wrong?,student,TRUE,
What do you mean,student,TRUE,
molar mass of Cl is 35.5,volunteer,TRUE,
but they are asking for chlorine gas which is Cl2,volunteer,TRUE,
so molecular mass of cl2 would be 2 times the molar mass of Cl,volunteer,TRUE,
I know i got  0.5 moles for A,student,TRUE,
I mean grams,student,TRUE,
no its not right,volunteer,TRUE,
1 mole of Cl2 weighs 70 grams,volunteer,TRUE,
35 moles would be 70*35,volunteer,TRUE,
Ohhh I see,student,TRUE,
So is the answer 0.01 grams,student,TRUE,
what approach did you use,volunteer,TRUE,
Uh the same as #1 a,student,TRUE,
no theyre different,volunteer,TRUE,
Ohhh,student,TRUE,
no. of grams= Molar mass* no.of moles,volunteer,TRUE,
So 1 mole is in the denominator,student,TRUE,
what’s on the numerator then,student,TRUE,
I’m confused,student,TRUE,
the molecular mass of Cl2,volunteer,TRUE,
2481.71,student,TRUE,
is that the molecular mass,student,TRUE,
molecular mass is 70,volunteer,TRUE,
you got the answer,volunteer,TRUE,
just not the method,volunteer,TRUE,
Mass=Number of moles×Molar mass,volunteer,TRUE,
Mass=35moles×71g/mol,volunteer,TRUE,
2485g,volunteer,TRUE,
Oh I used 70.906 in the beginning,student,TRUE,
I got confused I think and then redid it,student,TRUE,
you were right believe in yourseld,volunteer,TRUE,
Thank you!,student,TRUE,
did you get 3001.6 for #2 B,student,TRUE,
134/22.4= no.of. moles,volunteer,TRUE,
Oh,student,TRUE,
no. of moles multiplied by 71 is the asnwer,volunteer,TRUE,
So is 424.1698214g correct,student,TRUE,
Is this correct answer,student,TRUE,
its right,volunteer,TRUE,
Awesome yay,student,TRUE,
round it off to 424 if you can,volunteer,TRUE,
Oh ok,student,TRUE,
What do I do for #2 C by the way,student,TRUE,
i have no clue,student,TRUE,
atomic mass of plutonium is 244,volunteer,TRUE,
see if you can solve it now,volunteer,TRUE,
Wait solve it how,student,TRUE,
solve it like #2 A,student,TRUE,
?,student,TRUE,
?,volunteer,TRUE,
6.022* 10 ^23 molecules= 244 grams,volunteer,TRUE,
1 molecule= 244/ (6.022...),volunteer,TRUE,
yes,volunteer,TRUE,
yes,student,TRUE,
what did you get,volunteer,TRUE,
you should get 2.318*10^27,volunteer,TRUE,
I got 4000,student,TRUE,
okay sorry my bad,volunteer,TRUE,
here,volunteer,TRUE,
here,student,TRUE,
youre given atoms,volunteer,TRUE,
Yes I see that,student,TRUE,
Mass=Number of atoms×Atomic mass,volunteer,TRUE,
atomic mass is 244,volunteer,TRUE,
I still got 400,student,TRUE,
4000*,student,TRUE,
I’ll try again,student,TRUE,
yes please,volunteer,TRUE,
maybe I need to calculate it one at a time on my calculator,student,TRUE,
"also, ill be available after 15 mins now hope that not a prob",volunteer,TRUE,
It’s ok,student,TRUE,
i have to be more for 5 hours,student,TRUE,
Be here,student,TRUE,
Uh did you get 3.8475 x 10^49,student,TRUE,
or something close to that at least,student,TRUE,
you got the number right but not the power,volunteer,TRUE,
Uh what did you get,student,TRUE,
3843.88 grams,volunteer,TRUE,
Wait I got that number before,student,TRUE,
i got 3850.49….,student,TRUE,
It’s kinda close so i think we’re good,student,TRUE,
great,volunteer,TRUE,
can you fix the sentence  for me if you don't mind,student,TRUE,
hi,student,TRUE,
hi,volunteer,TRUE,
what happened in the outsiders in chapter 10?,student,TRUE,
Hi Jasmine,volunteer,TRUE,
Can you post the passage please?,volunteer,TRUE,
yes sure,student,TRUE,
I still don't see it sorry,volunteer,TRUE,
have you read the outsiders?,student,TRUE,
I was hoping you would post the reading on the board,volunteer,TRUE,
"As for the book itself, no I have never read The Outsiders.",volunteer,TRUE,
this is for chapter 11 does the sentence makes sense?,student,TRUE,
"Ponyboy finds an old yearbook to look at where he finds a picture of Bob Sheldon, the boy that Johnny had killed.",student,TRUE,
yes or no?,student,TRUE,
Yes,volunteer,TRUE,
Yes,student,TRUE,
JUST MAKING SURE,student,TRUE,
Ponyboy looks at the yearbook -> Ponyboy finds a picture of Bob in the yearbook -> Bob was killed by Johnny,volunteer,TRUE,
"Okay, so what sentence/paragraph do you need help with?",volunteer,TRUE,
Jasmine? Are you still here?,volunteer,TRUE,
"Okay, so what part are you having difficulty with?",volunteer,TRUE,
oh yeah can you help me with my newspaper article?,student,TRUE,
Sure! Post it on the board please,volunteer,TRUE,
Alright. Is there a specific topic that you will write about?,volunteer,TRUE,
Or a specific news?,volunteer,TRUE,
let me know when you are done reading the instructions,student,TRUE,
I finished reading,volunteer,TRUE,
can you please proofread this to see if I have everything? because my teacher gave me a not good grade and I really worked hard on it.,student,TRUE,
Do you need edit in your newspaper?,volunteer,TRUE,
yes I think so,student,TRUE,
can you make sure if I have everything? because my teacher gave not good grade.,student,TRUE,
and I really worked hard on it.,student,TRUE,
"Your first paragraph ""California's ... any other state"" sounds good. But your second paragraph, I think, should include why the event happened with Governor Gavin Newsom",volunteer,TRUE,
can you please help me?,student,TRUE,
is that in your own words/,student,TRUE,
*?,student,TRUE,
I mix and match your words,volunteer,TRUE,
To reduce redundancy and gives readers the most info in the first two sentences.,volunteer,TRUE,
This is only a demonstration and suggestion. You are free to take it from here and change it however you want.,volunteer,TRUE,
where do I put the when part?,student,TRUE,
that's only thing that I am concern about,student,TRUE,
Include the time at the beginning.,volunteer,TRUE,
"For the body paragraphs, you can include the quotes, let's say from California fast-food workers whose salary increased",volunteer,TRUE,
Or quotes from customers who buy fast food and either complain about the increased cost or support the decision to give fast food workers a better life,volunteer,TRUE,
"In the first two sentences, I think you do need to mention Governor to explain the why part. Then, in the body paragraph, you can introduce Governor in more details and explain the new law",volunteer,TRUE,
Is it clear? Do you have any questions?,volunteer,TRUE,
it happened on April 1st,student,TRUE,
"On April 1st, 2024, California's fast-food workers have received a pay increase to $20 per hour thanks to Governor Gavin Newsom, who believed that fast-food workers deserve a higher wage to keep up with the rising cost of living in California. With higher pay than any other state's fast food workers, their working conditions improve.",volunteer,TRUE,
"how about now? On April 1st, 2024 California's fast-food workers have received a pay increase to $20 per hour which is interesting because they now earn more than fast food workers in any other state.

This is important because it demonstrates a shift towards higher wages and improved working conditions for low-wage workers in the fast-food industry.",student,TRUE,
Sounds good,volunteer,TRUE,
But I think it is missing the why part. Why their salary increase?,volunteer,TRUE,
can you please edit it for m,student,TRUE,
*e,student,TRUE,
it does explain the why part,student,TRUE,
I highlighted in purple,student,TRUE,
I see,volunteer,TRUE,
do you see the why part?,student,TRUE,
"New law signed by Governor Gavin Newsom, fast-food chains with 60 or more locations nationwide are required to pay their workers at least $20 per hour.  This new law happened because The new law, signed by Governor Gavin Newsom last fall, requires that fast-food chains with 60 or more locations nationwide pay their workers at least $20 an hour. (Picchi 2024)

This change happened because Governor Gavin Newsom believed that fast food workers deserve a higher wage to keep up with the rising cost of living in California  and came as a result of advocacy efforts from workers and labor unions pushing for fair wages in the fast food industry.",student,TRUE,
"Yes, there is a why part in your original text. However, there is a bit of redundancy.",volunteer,TRUE,
"My edit is on the board, using 100% of your info and 70% of your words. You are free to adjust that however you like",volunteer,TRUE,
"For many years, labor unions and workers had pushed tirelessly for fair wages in the fast food industry. Governor Newsom, who believed that fast food workers deserve a higher wage to keep up with the rising cost of living in California, signed a new law last fall. The law states that fast-food chains with 60 or more locations nationwide must pay their workers at least $20 per hour. (Picchi 2024)",volunteer,TRUE,
should I leave it like this or no? This change happened because Governor Gavin Newsom believed that fast food workers deserve a higher wage to keep up with the rising cost of living in California  and came as a result of advocacy efforts from workers and labor unions pushing for fair wages in the fast food industry.,student,TRUE,
"That sentence has all the info needed. If you want to keep it, you can keep it",volunteer,TRUE,
Questions?,volunteer,TRUE,
really should I keep it if you were me?,student,TRUE,
This change happened because Governor Gavin Newsom believed that fast food workers deserve a higher wage to keep up with the rising cost of living in California  and came as a result of advocacy efforts from workers and labor unions pushing for fair wages in the fast food industry.,student,TRUE,
"I just think that the ""came as a result"" sounds a bit unnatural after the statement about the Governor's belief. But it is not grammatically wrong. Plus, it explains the why perfectly.",volunteer,TRUE,
"If you keep it, I don't think there is much problem",volunteer,TRUE,
should I keep it if you were me?,student,TRUE,
how about this one?,student,TRUE,
"""The $20 raise is great. I wish this would have come sooner,"" Vilorio said through a translator. ""Because I would not have been looking for so many other jobs in different places."" (Picchi 2024) -> sounds great, keep it",volunteer,TRUE,
"The other two sentences are good as well, b/c they explain the impact of this new law",volunteer,TRUE,
You may want some transition between your quote and the next two sentences.,volunteer,TRUE,
really?,student,TRUE,
do I have any Grammer's or errors?,student,TRUE,
can you proofread it?,student,TRUE,
No grammar error found so far,volunteer,TRUE,
"I would omit the ""simply""",volunteer,TRUE,
"It's not wrong to have the word ""simply"" in the sentence, but it doesn't add a lot of value to your sentence either",volunteer,TRUE,
What is to be fixed about the quote? It looks good to me,volunteer,TRUE,
"If companies are unable to absorb the increased costs AND pass them on to consumers, THEY may be forced to reduce their workforce or cut benefits, leading to job losses.",volunteer,TRUE,
how about now,student,TRUE,
"living in poverty, not living on poverty",volunteer,TRUE,
blue-collar with a hyphen,volunteer,TRUE,
"take out ""what takes place when"" b/.c they are unnecessary filler words",volunteer,TRUE,
Put a period after the first sentence,volunteer,TRUE,
living in poverty,student,TRUE,
isn't right?,student,TRUE,
Living in poverty is right. You originally wrote living on poverty,volunteer,TRUE,
is there any other Grammer's?,student,TRUE,
Just make sure that you put a period after each sentence,volunteer,TRUE,
"And there should be a hyphen between ""blue"" and ""collar"" to make ""blue-collar""",volunteer,TRUE,
which period do I need to add?,student,TRUE,
can you please highlight it?,student,TRUE,
Also delete a period in (Picchi 2024),volunteer,TRUE,
You wrote it as (Picchi 2024.),volunteer,TRUE,
I don't want to plagarise,student,TRUE,
they have period,student,TRUE,
why you highlight it for? when it already have period,student,TRUE,
"No, you misunderstood. Keep the (Picchi 2024) part as a citation, but you accidentally type (Picchi 2024.) instead of (Picchi 2024)",volunteer,TRUE,
is it like this? (Picchi 2024),student,TRUE,
I highlighted it b/c the text you copied to me in the white board did not have periods.,volunteer,TRUE,
"Yes, like that",volunteer,TRUE,
Anything else?,volunteer,TRUE,
how about now?,student,TRUE,
Looks good,volunteer,TRUE,
The rest of the paragraph also looks good. No grammar error found.,volunteer,TRUE,
are you sure,student,TRUE,
"Yes, I did read your last three sentences next to the link bar. No grammar error found.",volunteer,TRUE,
Is there a specific sentence you are not sure of and want me to proofread?,volunteer,TRUE,
Jasmine? Do you have any questions for me?,volunteer,TRUE,
Jasmine?,volunteer,TRUE,
"Jasmine, I have to leave in 5 minutes. Do you have any questions for me?",volunteer,TRUE,
the one that I turned in I got 15/25,student,TRUE,
what grade I'm I going to get?,student,TRUE,
what's your guess?,student,TRUE,
I'm sorry to hear that. Did your teacher give feedback or suggestion for improvement?,volunteer,TRUE,
Or explain where points are deducted?,volunteer,TRUE,
"Jasmine, I am not a teacher, and I unfortunately cannot tell you what grade you will get. What I can do is advice you to stay after class and talk to your teacher. Ask him/her what part of your writing needs improvement and how to do it",volunteer,TRUE,
Most teachers love students who are inquisitive and taking initiative for their study,volunteer,TRUE,
yes they left me on a comment,student,TRUE,
What did the comment say?,volunteer,TRUE,
Good start on your Article. let look at it lil more. to get full 25 points.,student,TRUE,
"So like, they want you to include more information to flesh out your article?",volunteer,TRUE,
yes  I think so,student,TRUE,
did I include more information?,student,TRUE,
"Okay, so there are a few things you can include to flesh out the article. I think you already included the core information, but you need to connect between the information better.",volunteer,TRUE,
by how?,student,TRUE,
can you help,student,TRUE,
"For example, I think you included a quote from Vilvo (sorry, can't spell their name) about how they wish the salary increase happened sooner. What you can do is immediately after the quote, add something like ""Prior to the salary increase, Vilvo had to work three part-time jobs to feed his family of 6. Now, he is able to work two part-time jobs which allows him to spend more time raising his sons.""",volunteer,TRUE,
Just make sure that what you say is accurate. I just provide an example of how you can say more about existing information,volunteer,TRUE,
to be honest with you I can't find any other quote on the article,student,TRUE,
https://www.cbsnews.com/news/california-fast-food-20-minimum-wage-law-prices/,student,TRUE,
"And then, you can connect this with the general statement about how the salary increase allows people to spend time with family, have hobbies, etc. ""Vilvo is not an exception. Many fast-food workers report on an improvement in life quality - they no longer have to work multiple jobs to support themselves and can spend time pursuing hobby or investing in their family.""",volunteer,TRUE,
"Let ,e skim the article real quick.",volunteer,TRUE,
*me,volunteer,TRUE,
take as much as time you need,student,TRUE,
"This is the info the article provided about Vilorio (whom I mistaken spelled Vilvo): The boost will help workers like Ingrid Vilorio, who said she started working at a McDonald's shortly after arriving in the United States in 2019. Fast food was her full-time job until last year. She now works part-time at a Jack in the Box about eight hours per week, in addition to other jobs.",volunteer,TRUE,
"So, my advice about explain the quality of life improvement for Vilorio after the salary increase still applies.",volunteer,TRUE,
do I add that in the quote?,student,TRUE,
"You can also add another paragraph about response of company to this salary change. Supporting points: ""The new baseline wage comes as the fast-food industry is seeing booming earnings, with big chains like McDonald's enjoying strong revenue growth and wider profit margins in recent years. That's partly due to menu prices that have far outpaced inflation, with fast-food costs surging 47% over the past decade, compared with an average of 29% for all other prices, according to a new analysis from the Roosevelt Institute, a nonpartisan think tank.""",volunteer,TRUE,
"Nope, paraphrase. You want to only quote what is truly important",volunteer,TRUE,
my teacher send me an video would you mind watchiing it?,student,TRUE,
"I'm not sure this platform supports video, but sure, we can try",volunteer,TRUE,
https://youtu.be/8_NmVtnEEA8?si=RXj8WRnPj8vaGjkJ,student,TRUE,
"Okay, so it seems like you did include most of their advice there",volunteer,TRUE,
"what is that says? to work f. Now, he a . Vi is not an exception.",student,TRUE,
"Before the salary increase, Vilvo had to work full-time at McDonald's since 2019. Now, she can afford to work part-time jobs. Vilorio is not an exception.",volunteer,TRUE,
Something similar in that nature to flesh out your existing information.,volunteer,TRUE,
Nothing fancy. Everything is in the article you provided me. Just pick and choose the ones that benefit your article.,volunteer,TRUE,
Does it make sense?,volunteer,TRUE,
Vilorio,student,TRUE,
"Oh yes, sorry Vilorio.",volunteer,TRUE,
"do I copy this? before the salary increase, Vilvo had to work full time. Now, she can afford to work part time jobs . Vilorio is not an exception.",student,TRUE,
what do I do?,student,TRUE,
"Yes, that sounds great!",volunteer,TRUE,
should I copy that or no?,student,TRUE,
"before the salary increase, Vilvo had to work full time. Now, she can afford to work part time jobs . Vilorio is not an exception.",student,TRUE,
where do I add it?,student,TRUE,
"You had a sentence about ""If company pass the increase to customers ..."" Add it there and make arguments supporting the salary increase then opposing the salary increase. Just to show the reader 2 sides of the same coin",volunteer,TRUE,
can you please add it for me?,student,TRUE,
Can you show me your last sentence next to the pink line please?,volunteer,TRUE,
"The one that talks about ""If a company ... pass the cost to the consumers ...""",volunteer,TRUE,
"The extra compensation and benefits may allow employees to spend more time with family and friends, pursue hobbies, or simply take breaks without worrying about finances.",student,TRUE,
Not that sentence,volunteer,TRUE,
I am not sure which last sentence do you mean,student,TRUE,
"The last sentence that sounds like: If companies are unable to absorb the increased costs AND pass them on to consumers, THEY may be forced to reduce their workforce or cut benefits, leading to job losses.",volunteer,TRUE,
oh got it,student,TRUE,
where can I add the sentence?,student,TRUE,
"After ""Vilorio is not an exception"", just add the word ""many"" to ""Employees feel more valued ..."" to emphasize that many employees also have similar thoughts as Vilorio",volunteer,TRUE,
"Also, remove the word ""may"" in the sentence ""Employees may feel more valued ..."" to sound more assertive",volunteer,TRUE,
which may?,student,TRUE,
"In ""Employees may feel more valued ..""",volunteer,TRUE,
can you please delete it for me,student,TRUE,
"Before the salary increase, Vilvo had to work full time. Now, she can afford to work part time jobs . Vilorio is not an exception. Many employees feel more valued and appreciated by their employers, leading to increased job satisfaction and motivation. The extra compensation and benefits may allow employees to spend more time with family and friends, pursue hobbies, or simply take breaks without worrying about finances.",volunteer,TRUE,
Fixed,volunteer,TRUE,
can you please delete it for me on the board,student,TRUE,
I don't see it,student,TRUE,
Deleted,volunteer,TRUE,
can you highlighted where you deleted it?,student,TRUE,
Saw that?,volunteer,TRUE,
Do you see that yellow highlighted word?,volunteer,TRUE,
It's okay if you don't see it. Not grammar error. I just thought delete it would make your point sound more assertive.,volunteer,TRUE,
"When you look at the employee's standpoint on the subject, living in poverty is mostly what takes place when in blue collar jobs With increased wages and benefits, employees may be able to afford luxuries they previously couldn’t, such as vacations, hobbies or upgrades to their living situation  ""The $20 raise is great. I wish this would have come sooner,"" Vilorio said through a translator. ""Because I would not have been looking for so many other jobs in different places."" (Picchi 2024)  Employees feel more valued and appreciated by their employer, leading to increased job satisfaction and motivation. The extra compensation and benefits may allow employees to spend more time with family and friends, pursue hobbies, or simply take breaks without worrying about finances.",student,TRUE,
"Jasmine, I'm sorry to stop here. We have been going for 3 hours. While I am more than happy to see you understand your lesson more, I unfortunately cannot stay longer. If you want additional help, please put in a new ticket and someone else will pick it up. Best of luck with your studies!",volunteer,TRUE,
You have improved a lot from your original draft. Just keep editing your article and refer back to your teacher's instructions.,volunteer,TRUE,
Good night!,volunteer,TRUE,
oh thanks,student,TRUE,
"if not, you can just put the footnote at the end of the paragraph or directly after you're done with a topic",volunteer,TRUE,
"nope, only when you use an direct quote",volunteer,TRUE,
this is what my teacher said: Supporting evidence for major points of the paper’s argument should be skillfully integrated into the paper. A consistent form of citation must be used throughout the essay.,student,TRUE,
so do i need a citation for every sentence?,student,TRUE,
"what do you mean when you say""how to cite footnote""",volunteer,TRUE,
you're welcome!,volunteer,TRUE,
thank uuu,student,TRUE,
for footnotes just click the place where you want the footnote to be and then click insert or ctrl+alt+f,volunteer,TRUE,
sure you can share the document with me,volunteer,TRUE,
thanks,volunteer,TRUE,
thanks,student,TRUE,
"overall, the essay looks great! just take a look at the suggestions that i made",volunteer,TRUE,
https://docs.google.com/document/d/1ZYcf02M9EuqU8Od9v11d1uQBx7P_ydsxBhoAD2xa7DU/edit?usp=sharing,student,TRUE,
can you change the access from view to comment or edit? because i can't edit anything,volunteer,TRUE,
there we goo,student,TRUE,
i can't share my email on this site,volunteer,TRUE,
i think you have to just change it to everyone is allowed to comment if you are using google docs,volunteer,TRUE,
ahhh ok,student,TRUE,
for tusked,student,TRUE,
105 for non tusked,student,TRUE,
"does that box say total population, I cannot see it",volunteer,TRUE,
Well we had to calculate that,student,TRUE,
So I did,student,TRUE,
"I'm only asking what is written, what words",volunteer,TRUE,
next question?,volunteer,TRUE,
oh,student,TRUE,
oh,volunteer,TRUE,
30% of females are tuskless,volunteer,TRUE,
Is this for the frequency,student,TRUE,
It is the answer to the question,volunteer,TRUE,
are you finished?,volunteer,TRUE,
What is the frequency of tusklessness in the male population?,student,TRUE,
I'm done,student,TRUE,
That's all the questions I have,student,TRUE,
Thank You So Much,student,TRUE,
do you know how to calculate it?,volunteer,TRUE,
you are welcome,volunteer,TRUE,
% is calculated by dividing a part by the whole. Remember that you must multiply by 100 to convert this decimal into a percentage.,student,TRUE,
so it is 27/270 X 100,volunteer,TRUE,
ok?,volunteer,TRUE,
and the answer is?,volunteer,TRUE,
10,student,TRUE,
10%,volunteer,TRUE,
"so, 30% of females have no tusks and 10% of males",volunteer,TRUE,
"What is the overall frequency of tusklessness in the total elephant
population?",student,TRUE,
One more question,student,TRUE,
78 + 27,volunteer,TRUE,
105,volunteer,TRUE,
105%?,student,TRUE,
105/100,student,TRUE,
"so, the % would be 105/530 X 100",volunteer,TRUE,
per cent is a proportion of the total,volunteer,TRUE,
19.81132075,student,TRUE,
19.8,student,TRUE,
19.8,volunteer,TRUE,
"so, it is the #of tuskless over the total number",volunteer,TRUE,
20,student,TRUE,
%,student,TRUE,
Can we do 4 more questions,student,TRUE,
sure,volunteer,TRUE,
"In these next few questions, we are going to practice writing summary sentences with sentence frames. Write a sentence about the elephants using the word ""but"".

Example: Prokaryotes and eukaryotes are both alive, but eukaryotes are more complex.

Write your own!

 , but  .",student,TRUE,
"Most elephants have tusks, but 19.8% do not",volunteer,TRUE,
that's one possibility,volunteer,TRUE,
ok,student,TRUE,
ok,volunteer,TRUE,
What would be another example,student,TRUE,
Most male and female elephants have tusks but only 3 times as many females than males are tuskless,volunteer,TRUE,
"take out the only, it's a mistake",volunteer,TRUE,
Most male and female elephants have tusks but 3 times as many females than males are tuskless,volunteer,TRUE,
"30% of female elephants are tuskless, but only 10% of male elephants do not have tusks",volunteer,TRUE,
do you have more questions?,volunteer,TRUE,
yes two more,student,TRUE,
"The increase in tusklessness is an example of...

Disruptive selection

Directional selection

Stabilizing selection",student,TRUE,
"What is the evolutionary advantage of the tuskless elephants?

Better defense against predators

Increased survival in poaching areas

Greater mating success

Greater access to food",student,TRUE,
For the first one I choose the disruptive,student,TRUE,
hello,student,TRUE,
her,volunteer,TRUE,
i'm her,volunteer,TRUE,
I'm checking out the difference between disruptive and directional,volunteer,TRUE,
"for the second one, it is clearly increased survival in poaching areas",volunteer,TRUE,
Wait is the directional,student,TRUE,
"directional selection: a mode of natural selection in which a single phenotype is favored, causing the allele frequency to continuously shift in one direction
    disruptive selection: (or diversifying selection) a mode of natural selection in which extreme values for a trait are favored over intermediate values
    stabilizing selection: a type of natural selection in which genetic diversity decreases as the population stabilizes on a particular trait value",volunteer,TRUE,
"in this case, there is no intermediate values, can't have partial tusks",volunteer,TRUE,
how can I help?,volunteer,TRUE,
can you post your homework?,volunteer,TRUE,
"but I imagine that in some cases, having tusks is favored, like against other animals",volunteer,TRUE,
I would say it is directional selection but I'm not sure,volunteer,TRUE,
"What is the frequency of tusklessness in the female population? (Write as a %, rounded to the nearest whole number)",student,TRUE,
That is my question,student,TRUE,
what is written in that box?,volunteer,TRUE,
is it total population?,volunteer,TRUE,
425,student,TRUE,
llegar,student,TRUE,
"Hello! Im Audrey and I will be your tutor! To get started, can I ask what you need help with?",volunteer,TRUE,
ik this is in spanish but is there any way this could be translated to english,student,TRUE,
"Janelle, the picture that was provided on the workspace I noticed is in a different language. My primary language is English just to let you know! :)",volunteer,TRUE,
Ill see what I can do,volunteer,TRUE,
Could you please give me a minute?,volunteer,TRUE,
Ok so at the top of the picture there are instructions. Can you identify/understand what the question is asking?,volunteer,TRUE,
"For clarification, I am talking about the first picture.",volunteer,TRUE,
it says Identify what you see:,student,TRUE,
Ok! So what do you see in the picture provided?,volunteer,TRUE,
Trepa a un árbol.,student,TRUE,
Trepa,student,TRUE,
Yes! Great Job!,volunteer,TRUE,
trepa,student,TRUE,
Climbing a tree!,volunteer,TRUE,
it wont let mesay it in spanish,student,TRUE,
leet me,student,TRUE,
Thats ok!,volunteer,TRUE,
Ok now for the next picture!,volunteer,TRUE,
"Forst off, Identify what the question is asking you.",volunteer,TRUE,
con una muñeca. the question ask what do you identify,student,TRUE,
The key words in the sentence would be juega and persona,volunteer,TRUE,
We need to first figure out what those mean in English.,volunteer,TRUE,
Question What does this person play with?,student,TRUE,
Yes!,volunteer,TRUE,
Now what do you see the girl playing with in the picture?,volunteer,TRUE,
a doll,student,TRUE,
Yes! Do you know what doll is in spanish?,volunteer,TRUE,
muñeca es,student,TRUE,
Great Job!,volunteer,TRUE,
muneca,student,TRUE,
Ok on to the last question! Your doing great!,volunteer,TRUE,
This ones a little more challenging but you got this!,volunteer,TRUE,
"First, identify the question and the key words.",volunteer,TRUE,
Olvera Street is the place where,student,TRUE,
So we need to find out where Olvera Street is located.,volunteer,TRUE,
"And you can see in the answers there are words that look similar to word in english. It looks like we have America, United States, and Los Angeles.",volunteer,TRUE,
"These words are called cognates, and they can make it much easier to break down a sentence.",volunteer,TRUE,
"Have you learned about Overa Street before? If you haven't, you may have to do some research on where it is located.",volunteer,TRUE,
LA,student,TRUE,
You got it!,volunteer,TRUE,
Your pretty good! I saw that you said you didnt know much about this but you know more than you think!,volunteer,TRUE,
Is there anything else I can help with?,volunteer,TRUE,
i have this one,student,TRUE,
Ok then!,volunteer,TRUE,
Lets identify the question again.,volunteer,TRUE,
There are more cognates too which we can use to break down what the question is asking.,volunteer,TRUE,
If a person is not born in the United States,student,TRUE,
Yes! Amazing!,volunteer,TRUE,
